timestep,learning_rate,entropy_loss,policy_gradient_loss,value_loss,approx_kl,clip_fraction,loss,explained_variance,n_updates,clip_range
8192,,,,,,,,,,
16384,0.0003,-2.4765807993710043,-0.00522922690724954,713.1757449150085,0.009331390261650085,0.040234375,172.5729522705078,-0.0014317035675048828,10.0,0.2
24576,0.0003,-2.4736734688282014,-0.005325725729926489,599.5205801486969,0.008341921493411064,0.041552734375,153.22511291503906,0.010393261909484863,20.0,0.2
32768,0.0003,-2.4677542015910148,-0.009202854755858424,334.1101251602173,0.009933002293109894,0.08223876953125,100.56494140625,0.545727014541626,30.0,0.2
40960,,,,,,,,,,
49152,0.0003,-2.4499857053160667,-0.012868748736218549,154.4696090221405,0.008964555338025093,0.09298095703125,74.65296173095703,0.8193565011024475,50.0,0.2
57344,0.0003,-2.4435763344168664,-0.013983497675508261,144.99387528896332,0.008574366569519043,0.0814208984375,71.4417724609375,0.8403663635253906,60.0,0.2
65536,0.0003,-2.434753409773111,-0.013782993415225065,155.02858929634095,0.0069749848917126656,0.07376708984375,63.749786376953125,0.838603675365448,70.0,0.2
73728,0.0003,-2.4238521002233027,-0.01021046112946351,147.88771278858184,0.007186169270426035,0.04075927734375,74.84524536132812,0.8459814786911011,80.0,0.2
81920,,,,,,,,,,
90112,0.0003,-2.403589613735676,-0.011566524132649646,164.1889651298523,0.007413558196276426,0.05888671875,79.0868148803711,0.8438626527786255,100.0,0.2
98304,0.0003,-2.388281721621752,-0.00920988562720595,172.22939736843108,0.005881595425307751,0.0545166015625,95.6644515991211,0.8451343774795532,110.0,0.2
106496,0.0003,-2.3807839691638946,-0.011451625241898,145.66988546848296,0.007728112395852804,0.06761474609375,67.85584259033203,0.8589915633201599,120.0,0.2
114688,0.0003,-2.3746571995317938,-0.010733679465192835,145.32942209243774,0.006473485380411148,0.0625732421875,66.368896484375,0.8575582504272461,130.0,0.2
122880,,,,,,,,,,
131072,0.0003,-2.359241579473019,-0.011425044602219714,137.4689921617508,0.008869659155607224,0.0782958984375,72.68672180175781,0.8686156272888184,150.0,0.2
139264,0.0003,-2.33709654211998,-0.012110343375388766,145.3484739780426,0.007677236571907997,0.0918212890625,66.90648651123047,0.854007363319397,160.0,0.2
147456,0.0003,-2.348257979005575,-0.01142072580732929,144.4637699842453,0.008574374951422215,0.08984375,66.98268127441406,0.8636675477027893,170.0,0.2
155648,0.0003,-2.3370249390602114,-0.011304783511877758,162.21259891986847,0.007523306645452976,0.07183837890625,77.3290023803711,0.8450241088867188,180.0,0.2
163840,,,,,,,,,,
172032,0.0003,-2.3149868711829185,-0.01026332867477322,153.7806876897812,0.009894954040646553,0.08712158203125,75.34664154052734,0.8473036289215088,200.0,0.2
180224,0.0003,-2.3162568010389806,-0.012001846438943175,144.6187896490097,0.008563350886106491,0.082763671875,71.37855529785156,0.8602970242500305,210.0,0.2
188416,0.0003,-2.3100572414696217,-0.011945437311806018,136.73462238311768,0.00991276279091835,0.106494140625,78.04715728759766,0.8603559732437134,220.0,0.2
196608,0.0003,-2.307242748141289,-0.009598450439079897,143.20741741657258,0.008321337401866913,0.0715576171875,78.13130187988281,0.8566834926605225,230.0,0.2
204800,,,,,,,,,,
212992,0.0003,-2.2986396841704844,-0.011476442423736443,171.0598253726959,0.008030705153942108,0.07607421875,93.10662841796875,0.8386737108230591,250.0,0.2
221184,0.0003,-2.2969045571982862,-0.01163689017375873,154.26267573833465,0.00811794400215149,0.08138427734375,71.02691650390625,0.8506426811218262,260.0,0.2
229376,0.0003,-2.2949658907949924,-0.012008443006925518,150.48717641830444,0.008391674607992172,0.09041748046875,61.816219329833984,0.8541575074195862,270.0,0.2
237568,0.0003,-2.292181073129177,-0.012728223235535551,152.02325515747071,0.008672955445945263,0.0853271484375,74.35123443603516,0.8515564203262329,280.0,0.2
245760,,,,,,,,,,
253952,0.0003,-2.274940049648285,-0.011431169923162088,150.36159884929657,0.008889549411833286,0.0975830078125,56.60105514526367,0.8536269664764404,300.0,0.2
262144,0.0003,-2.270664982497692,-0.01090423552741413,174.10581312179565,0.00921175628900528,0.0996337890625,82.58280181884766,0.8366320133209229,310.0,0.2
270336,0.0003,-2.2738348834216593,-0.010779524012468756,173.6525777578354,0.010110127739608288,0.0848876953125,72.19087219238281,0.8416311740875244,320.0,0.2
278528,0.0003,-2.265376619249582,-0.011809112985065439,140.50249257087708,0.009831113740801811,0.09981689453125,61.35285949707031,0.8539012670516968,330.0,0.2
286720,,,,,,,,,,
294912,0.0003,-2.249030142277479,-0.010037212668248686,168.52557716369628,0.008025173097848892,0.10465087890625,81.05088806152344,0.8361877799034119,350.0,0.2
303104,0.0003,-2.2495556697249413,-0.01405269919487182,158.3576161146164,0.010348396375775337,0.107666015625,81.29338836669922,0.8450604677200317,360.0,0.2
311296,0.0003,-2.247975419461727,-0.016047294305462857,161.11110169887542,0.010279253125190735,0.1264892578125,75.96837615966797,0.8486529588699341,370.0,0.2
319488,0.0003,-2.2490718685090543,-0.014008914081205148,161.61510462760924,0.01155950129032135,0.11463623046875,72.75699615478516,0.8415192365646362,380.0,0.2
327680,,,,,,,,,,
335872,0.0003,-2.2395321398973467,-0.009137221266064444,159.7794706583023,0.008331273682415485,0.09307861328125,60.39512252807617,0.8431858420372009,400.0,0.2
344064,0.0003,-2.22945891097188,-0.012917062521592016,147.12536811828613,0.009519513696432114,0.11273193359375,64.0698471069336,0.8577415943145752,410.0,0.2
352256,0.0003,-2.2308674216270448,-0.011690360833745217,165.2293389558792,0.00968822930008173,0.10784912109375,91.3729248046875,0.8509845733642578,420.0,0.2
360448,,,,,,,,,,
368640,0.0003,-2.214401234686375,-0.012156777072959812,165.13203387260438,0.009764295071363449,0.110009765625,84.97779083251953,0.8401395678520203,440.0,0.2
376832,0.0003,-2.211444538831711,-0.011633910133969038,160.42767522335052,0.01011026930063963,0.1166015625,62.22813415527344,0.8429297208786011,450.0,0.2
385024,0.0003,-2.2143690913915632,-0.012325254172901623,160.84965391159056,0.011178813874721527,0.1204833984375,78.60261535644531,0.8505046367645264,460.0,0.2
393216,0.0003,-2.211460980772972,-0.01191914516457473,157.38649520874023,0.00981983169913292,0.1132568359375,87.24056243896484,0.8470765948295593,470.0,0.2
401408,,,,,,,,,,
409600,0.0003,-2.193860825151205,-0.013245418723818148,163.87518434524537,0.011207988485693932,0.12669677734375,69.40958404541016,0.8377078175544739,490.0,0.2
417792,0.0003,-2.1823344372212885,-0.013734603016928304,162.64585275650023,0.011180473491549492,0.130322265625,89.98202514648438,0.8408988118171692,500.0,0.2
425984,0.0003,-2.180903120338917,-0.01217969128410914,147.20164704322815,0.013316933065652847,0.14051513671875,69.0492935180664,0.8513715267181396,510.0,0.2
434176,0.0003,-2.1784173980355264,-0.009734603649849304,168.90904819965363,0.010108424350619316,0.09423828125,92.88907623291016,0.8430723547935486,520.0,0.2
442368,,,,,,,,,,
450560,0.0003,-2.174626149982214,-0.012646163775934837,153.68023092746733,0.011164861731231213,0.12733154296875,69.10975646972656,0.8465651273727417,540.0,0.2
458752,0.0003,-2.164351651072502,-0.010897217995807295,140.98219084739685,0.012255355715751648,0.12633056640625,61.448448181152344,0.85554039478302,550.0,0.2
466944,0.0003,-2.1635978780686855,-0.014580411071074195,161.6078519821167,0.010486660525202751,0.13433837890625,90.74624633789062,0.8418915271759033,560.0,0.2
475136,0.0003,-2.158548080921173,-0.01339753635111265,131.94888780117034,0.012707475572824478,0.13331298828125,58.95443344116211,0.856016218662262,570.0,0.2
483328,,,,,,,,,,
491520,0.0003,-2.136959138512611,-0.012081612228939775,142.23520774841307,0.010935070924460888,0.1368896484375,74.32144165039062,0.8439025282859802,590.0,0.2
499712,0.0003,-2.1300307542085646,-0.00981905067092157,163.41480100154877,0.010478369891643524,0.1215576171875,93.65616607666016,0.8370245099067688,600.0,0.2
507904,0.0003,-2.1185677647590637,-0.014086198509903624,159.96025910377503,0.010759311728179455,0.13565673828125,92.83776092529297,0.8454850912094116,610.0,0.2
